jd,RA,Decl,magsky
2456231.58,340.436375,1.21027778,19.4987189153
2456235.52,340.35891667,1.17002778,22.655396315
2456235.52,340.39620833,1.18633333,22.7208011715
2456239.58,28.65720833,0.71680556,22.4408896108
2456239.59,44.3385,0.31080556,22.4001187306
2456239.59,44.44575,0.26741667,22.5273334074
2456239.62,58.93491667,0.11763889,22.3674064631
2456239.62,59.05558333,0.14638889,22.6391602558
2456239.62,72.92666667,-0.16927778,22.2891065919
2456244.83,103.078625,-0.39241667,22.7080447007
2456244.83,103.04141667,-0.39219444,22.6073082272
2456244.83,103.01404167,-0.45508333,22.1091009524
2456244.83,103.00783333,-0.45597222,22.0016782727
2456244.83,102.970875,-0.36694444,22.6637228264
2456244.84,72.92666667,-0.16927778,22.2680580242
2456702.72474,103.078625,-0.39241667,18.2445031236
2456702.72474,103.04141667,-0.39219444,18.2610009581
2456702.72474,103.02004167,-0.36541667,18.2549360546
2456702.72474,103.01404167,-0.45508333,18.2381323245
2456702.72474,103.0095,-0.35438889,18.2538882017
2456702.72474,103.00783333,-0.45597222,18.2318777092
2456702.72474,102.995875,-0.35877778,18.2564693153
2456702.72474,102.970875,-0.36694444,18.2604334055
2456702.72474,102.95654167,-0.35436111,18.2555813806
2456702.72474,102.92904167,-0.37191667,18.253566055
2456702.72474,102.915625,-0.44497222,18.2492256078
2456702.72474,102.91625,-0.42830556,18.253404956
2456702.72474,102.91883333,-0.36641667,18.2488246951
2456702.72474,102.91258333,-0.44341667,18.2588946639
2456702.54088,73.24525,-0.24480556,19.1917138058
2456246.59,14.19525,0.64191667,22.4662105343
2456246.69,58.23958333,-0.00533333,22.5928449802
2456246.69,58.25095833,0.047,22.5030635675
2456246.69,58.25325,0.00441667,22.4608117303
2456246.69,58.26725,0.04727778,22.3656498682
2456246.69,58.28158333,0.01972222,22.6406824611
2456247.69,44.44575,0.26741667,22.3857647261
2456247.71,58.30516667,0.273,22.3812614635
2456247.71,58.33579167,0.27630556,22.5205665466
2456249.51,28.65720833,0.71680556,19.450468894
2456249.51,28.77175,0.76180556,19.4678353362
2456249.51,28.65720833,0.71680556,19.7703608058
2456249.51,28.77175,0.76180556,19.783797654
2456249.64,28.65720833,0.71680556,22.4028738006
2456249.64,28.77175,0.76180556,22.6008269004
2456249.61,73.24525,-0.24480556,21.9037775699
2456250.51,28.65720833,0.71680556,18.4294074647
2456250.51,28.77175,0.76180556,18.4317090229
2456250.64,44.3385,0.31080556,21.8013367554
2456250.64,44.44575,0.26741667,21.8785771496
2456252.68,58.30516667,0.273,21.2935108648
2456252.68,58.33579167,0.27630556,21.3339777535
2456252.8,133.39779167,-0.61138889,22.5073329935
2456252.8,133.477125,-0.53944444,22.7734712974
2456253.66,14.32083333,0.61352778,20.1710859306
2456253.51,28.65720833,0.71680556,18.2412672858
2456253.51,28.77175,0.76180556,18.2397111456
2456253.61,28.65720833,0.71680556,20.4147388345
2456253.61,28.77175,0.76180556,20.4582960669
2456253.7,28.65720833,0.71680556,20.488945713
2456253.7,28.77175,0.76180556,20.5308892188
2453249.65,14.19525,0.64191667,17.5939596542
2453249.65,14.32083333,0.61352778,17.6346408903
2453250.65,14.19525,0.64191667,18.5507051984
2453250.65,14.32083333,0.61352778,18.5520972581
2453251.68,14.19525,0.64191667,19.4773684253
2453251.68,14.32083333,0.61352778,19.4911422474
2453253.67,14.19525,0.64191667,22.5128554092
2453253.67,14.32083333,0.61352778,22.4469118943
2453256.72,14.19525,0.64191667,22.6079361606
2453256.72,14.32083333,0.61352778,22.5897643281
2453263.82,14.19525,0.64191667,22.4783485095
2453263.82,14.32083333,0.61352778,22.3693970473
2453264.82,14.19525,0.64191667,22.4664099828
2453264.82,14.32083333,0.61352778,22.3849415486
2453265.83,14.19525,0.64191667,22.4328523615
2453265.83,14.32083333,0.61352778,22.4845639038
2453266.81,14.19525,0.64191667,22.3324460773
2453266.81,14.32083333,0.61352778,22.3600743733
