,jd,RA,Decl,magsky
200,2455890.76,103.078625,-0.39241667,22.5851685766
201,2455899.85,102.970875,-0.36694444,21.652234792
202,2455899.85,103.00783333,-0.45597222,21.5210382747
203,2455899.85,103.01404167,-0.45508333,21.5569336144
204,2455899.85,103.02004167,-0.36541667,21.7403859209
205,2455899.85,103.04141667,-0.39219444,21.8422483095
206,2455899.85,103.078625,-0.39241667,21.8970029326
207,2455900.83,102.970875,-0.36694444,22.6976808292
208,2455900.83,103.00783333,-0.45597222,22.2618218171
209,2455900.83,103.01404167,-0.45508333,22.3156710683
210,2455900.83,103.02004167,-0.36541667,22.9630926865
211,2455900.83,103.04141667,-0.39219444,23.0143968062
212,2455900.83,103.078625,-0.39241667,23.386744353
213,2455910.8,103.00783333,-0.45597222,19.8014935116
214,2455910.8,103.01404167,-0.45508333,19.8080426257
215,2455910.8,103.04141667,-0.39219444,19.8758021457
216,2455910.8,103.078625,-0.39241667,19.9000428214
217,2455945.74,102.970875,-0.36694444,22.568828768
218,2455945.74,103.00783333,-0.45597222,22.027056042
219,2455945.74,103.01404167,-0.45508333,22.0746140897
220,2455945.74,103.02004167,-0.36541667,22.6761493267
221,2455945.74,103.04141667,-0.39219444,22.8940247473
222,2455945.74,103.078625,-0.39241667,23.3604164804
223,2455964.71,102.970875,-0.36694444,17.9376727281
224,2455964.71,103.00783333,-0.45597222,17.940429996
225,2455964.71,103.01404167,-0.45508333,17.9420877522
226,2455964.71,103.02004167,-0.36541667,17.9424564943
227,2455964.71,103.04141667,-0.39219444,17.9493008032
228,2455964.71,103.078625,-0.39241667,17.9528322347
229,2455969.69,102.970875,-0.36694444,20.1338314358
230,2455969.69,103.00783333,-0.45597222,20.0625872074
231,2455969.69,103.01404167,-0.45508333,20.05450471
232,2455969.69,103.02004167,-0.36541667,20.1396220371
233,2455969.69,103.04141667,-0.39219444,20.1705400102
234,2455969.69,103.078625,-0.39241667,20.1586577009
235,2455970.67,102.970875,-0.36694444,20.7491809682
236,2455970.67,103.00783333,-0.45597222,20.5915516444
237,2455970.67,103.01404167,-0.45508333,20.5811217817
238,2455970.67,103.02004167,-0.36541667,20.6994438878
239,2455970.67,103.04141667,-0.39219444,20.697131407
240,2455970.67,103.078625,-0.39241667,20.6902231516
241,2455971.67,102.970875,-0.36694444,21.343039009
242,2455971.67,103.00783333,-0.45597222,21.1505010592
243,2455971.67,103.01404167,-0.45508333,21.2026264397
244,2455971.67,103.02004167,-0.36541667,21.4141917216
245,2455971.67,103.04141667,-0.39219444,21.388543241
246,2455971.67,103.078625,-0.39241667,21.458333376
